Group 1,Group 2,Shapiro-Wilk test statistic Group 1,Shapiro-Wilk p value Group 1,Shapiro-wilk test statistic Group 2,Shapiro-Wilk p value Group 2,F test: F statistic,F test: num df,F test: denom df,F test: pvalue,test for comparisons of central tendencies,H0,test statistic,df,p value,FDR corrected p value,reject H0
MT14,dT,0.787944719029687,0.0643932178330993,0.875302694451458,0.288564391357173,1.83383906460909,4,4,0.571372274613545,t test with equal variances,mean group 1 = mean group 2,0.504033013953591,8,0.627823285644366,0.727233191854349,no
MT14,MT48,0.787944719029687,0.0643932178330993,0.953191132735261,0.759954617427231,4.02350725569219,4,4,0.206206247327972,t test with equal variances,mean group 1 = mean group 2,-0.361296867633054,8,0.727233191854349,0.727233191854349,no
MT14,algD,0.787944719029687,0.0643932178330993,0.838342399485264,0.160391935233927,0.874566604293275,4,4,0.899779881803519,t test with equal variances,mean group 1 = mean group 2,-2.15389484964325,8,0.0633894971435355,0.199143722748756,no
MT14,alg44,0.787944719029687,0.0643932178330993,0.693706358025299,0.00822021390395438,1.14803826885636,4,4,0.89678683121835,Mann-Whitney U test,median group 1 = medan group 2,9,NA,0.547619047619048,0.727233191854349,no
MT14,azu,0.787944719029687,0.0643932178330993,0.952473614265047,0.754843477774237,1.25915882896779,4,4,0.828682675286428,t test with equal variances,mean group 1 = mean group 2,-1.86234146969601,8,0.0995718613743781,0.199143722748756,no
MT14,fimA,0.787944719029687,0.0643932178330993,0.956601758364824,0.784144299037112,1.90795056326593,4,4,0.546873732929725,t test with equal variances,mean group 1 = mean group 2,-3.01739230982869,8,0.0166253458151841,0.133002766521472,no
MT14,fli,0.787944719029687,0.0643932178330993,0.91643395236669,0.507201162727969,0.248793010674142,4,4,0.206517572193634,t test with equal variances,mean group 1 = mean group 2,0.408573258777297,8,0.693570795800916,0.727233191854349,no
MT14,usher,0.787944719029687,0.0643932178330993,0.940876125414056,0.672139042738156,4.54804797899205,4,4,0.17150364716393,t test with equal variances,mean group 1 = mean group 2,-1.91431616826493,8,0.0919176086007374,0.199143722748756,no
