well;id
A1;6
B1; 
C1; 
D1;7
E1; 
F1; 
G1; 
H1;4
A2; 
B2;5
C2; 
D2;5
E2;3
F2; 
G2; 
H2; 
A3;8
B3; 
C3; 
D3; 
E3; 
F3; 
G3; 
H3;2
A4; 
B4; 
C4;6
D4;12
E4; 
F4; 
G4; 
H4;2
A5; 
B5;4
C5;7
D5;7
E5; 
F5; 
G5;14
H5; 
A6;9
B6; 
C6;5
D6;6
E6;13
F6;13
G6;12
H6; 
A7;4
B7;14
C7; 
D7;9
E7;3
F7; 
G7; 
H7; 
A8; 
B8; 
C8; 
D8;1
E8; 
F8; 
G8; 
H8; 
A9;8
B9;13
C9;10
D9; 
E9;3
F9; 
G9;1
H9; 
A10; 
B10;2
C10;14
D10; 
E10; 
F10; 
G10;8
H10; 
A11; 
B11; 
C11; 
D11;10
E11; 
F11;10
G11;12
H11;9
A12; 
B12; 
C12;1
D12;11
E12;11
F12; 
G12;11
H12; 
