Replicate;Typ;Sample;Col;1;2;3;Dilution;Worms;MT;Set
4;W;4;dT;3;7;5;3;20;dT;algD+dT
4;S;4;dT;2;3;4;2;20;dT;algD+dT
4;W;5;AL;2;4;3;3;20;MT48;MT48+dT
4;S;5;AL;0;3;2;2;20;MT48;MT48+dT
4;W;5;dT;6;8;6;3;20;dT;MT48+dT
4;S;5;dT;5;0;7;2;20;dT;MT48+dT
4;W;6;W;9;13;20;3;20;azu;azu+dT
4;S;6;W;7;6;2;2;20;azu;azu+dT
4;W;6;dT;1;0;1;3;20;dT;azu+dT
4;S;6;dT;0;2;2;2;20;dT;azu+dT
4;W;7;W;40;47;59;4;20;fimA;fimA
4;S;7;W;10;8;8;3;20;fimA;fimA
4;W;8;W;23;14;20;3;20;fli;fli+dT
4;S;8;W;4;3;4;2;20;fli;fli+dT
4;W;8;dT;1;0;0;3;20;dT;fli+dT
4;S;8;dT;0;1;1;2;20;dT;fli+dT
4;W;9;W;14;6;10;4;20;alg44;alg44
4;S;9;W;10;14;11;3;20;alg44;alg44
4;W;10;W;27;38;31;3;20;usher;usher+dT
4;S;10;W;21;31;33;2;20;usher;usher+dT
4;W;10;dT;10;9;9;3;20;dT;usher+dT
4;S;10;dT;12;11;16;2;20;dT;usher+dT
4;W;11;W;9;11;19;4;20;usher;usher
4;S;11;W;11;8;9;3;20;usher;usher
4;W;12;W;34;57;49;4;20;alg44;alg44+dT
4;S;12;W;20;31;20;3;20;alg44;alg44+dT
4;W;12;dT;2;0;3;4;20;dT;alg44+dT
4;S;12;dT;0;2;3;3;20;dT;alg44+dT
4;W;13;dT;6;7;3;3;20;dT;dT
4;S;13;dT;7;4;3;2;20;dT;dT
4;W;14;AL;10;11;9;3;20;MT48;MT48
4;S;14;AL;28;35;31;2;20;MT48;MT48
4;W;15;W;48;59;43;3;20;MT14;MT14+dT
4;S;15;W;38;41;37;1;20;MT14;MT14+dT
4;W;15;dT;2;2;3;3;20;dT;MT14+dT
4;S;15;dT;3;2;1;1;20;dT;MT14+dT
4;W;16;W;12;12;10;4;20;fimA;fimA+dT
4;S;16;W;10;8;8;3;20;fimA;fimA+dT
4;W;16;dT;1;0;0;4;20;dT;fimA+dT
4;S;16;dT;2;0;0;3;20;dT;fimA+dT
4;W;17;W;15;11;9;4;20;azu;azu
4;S;17;W;34;39;41;2;20;azu;azu
5;W;1;W;12;15;16;2;20;fli;fli
5;S;1;W;16;14;12;2;20;fli;fli
5;W;2;W;14;25;18;3;20;alg44;alg44+dT
5;S;2;W;22;17;25;2;20;alg44;alg44+dT
5;W;2;dT;0;2;2;3;20;dT;alg44+dT
5;S;2;dT;2;2;5;2;20;dT;alg44+dT
5;W;3;W;40;40;42;3;20;fimA;fimA
5;S;3;W;13;16;13;3;20;fimA;fimA
5;W;4;W;51;40;48;3;20;algD;algD+dT
5;S;4;W;43;49;48;3;20;algD;algD+dT
5;W;4;dT;2;4;7;3;20;dT;algD+dT
5;S;4;dT;4;3;2;3;20;dT;algD+dT
5;W;5;W;31;37;40;3;20;usher;usher
5;S;5;W;1;4;6;3;20;usher;usher
5;W;6;W;14;6;6;4;20;alg44;alg44
5;S;6;W;29;35;32;3;20;alg44;alg44
5;W;7;W;66;69;61;3;20;MT14;MT14+dT
5;S;7;W;5;7;14;3;20;MT14;MT14+dT
5;W;7;dT;1;4;4;3;20;dT;MT14+dT
5;S;7;dT;1;1;0;3;20;dT;MT14+dT
5;W;8;W;28;38;27;3;20;fli;fli+dT
5;S;8;W;17;20;14;3;20;fli;fli+dT
5;W;8;dT;1;1;4;3;20;dT;fli+dT
5;S;8;dT;2;2;1;3;20;dT;fli+dT
5;W;9;AL;7;6;5;3;20;MT48;MT48
5;S;9;AL;9;7;11;2;20;MT48;MT48
5;W;10;AL;6;13;14;3;20;MT48;MT48+dT
5;S;10;AL;2;0;5;3;20;MT48;MT48+dT
5;W;10;dT;18;21;18;3;20;dT;MT48+dT
5;S;10;dT;3;4;1;3;20;dT;MT48+dT
5;W;11;dT;50;51;39;2;20;dT;dT
5;S;11;dT;1;2;5;3;20;dT;dT
5;W;12;W;66;58;63;3;20;azu;azu+dT
5;S;12;W;30;33;35;2;20;azu;azu+dT
5;W;12;dT;3;7;5;3;20;dT;azu+dT
5;S;12;dT;1;3;2;2;20;dT;azu+dT
5;W;13;W;16;21;24;3;20;MT14;MT14
5;S;13;W;27;42;40;2;20;MT14;MT14
5;W;14;W;8;9;8;4;20;azu;azu
5;S;14;W;3;9;5;3;20;azu;azu
5;W;15;W;44;30;34;4;20;algD;algD
5;S;15;W;40;47;39;3;20;algD;algD
5;W;16;W;65;72;63;3;20;fimA;fimA+dT
5;S;16;W;14;17;16;3;20;fimA;fimA+dT
5;W;16;dT;8;9;7;3;20;dT;fimA+dT
5;S;16;dT;2;4;4;3;20;dT;fimA+dT
5;W;17;W;107;112;115;2;20;usher;usher+dT
5;S;17;W;33;33;30;2;20;usher;usher+dT
5;W;17;dT;5;4;5;2;20;dT;usher+dT
5;S;17;dT;2;2;0;2;20;dT;usher+dT
