Replicate;Typ;Sample;Col;1;2;3;Dilution;Worms;MT;Set
1;W;1;W;27;37;47;3;20;azu;azu
1;S;1;W;24;20;39;3;20;azu;azu
1;W;2;W;62;68;81;3;20;alg44;alg44+dT
1;S;2;W;71;77;77;2;20;alg44;alg44+dT
1;W;2;dT;8;6;7;3;20;dT;alg44+dT
1;S;2;dT;9;8;0;2;20;dT;alg44+dT
1;W;3;W;97;97;96;3;20;azu;azu+dT
1;S;3;W;69;60;55;2;20;azu;azu+dT
1;W;3;dT;5;2;5;3;20;dT;azu+dT
1;S;3;dT;7;7;7;2;20;dT;azu+dT
1;W;4;dT;21;16;13;3;20;dT;dT
1;S;4;dT;14;4;5;2;20;dT;dT
1;W;5;AL;15;17;14;3;20;MT48;MT48
1;S;5;AL;12;17;9;2;20;MT48;MT48
1;W;6;W;97;120;NA;3;20;MT14;MT14+dT
1;S;6;W;41;48;NA;2;20;MT14;MT14+dT
1;W;6;dT;18;14;NA;3;20;dT;MT14+dT
1;S;6;dT;6;8;NA;2;20;dT;MT14+dT
1;W;7;W;19;26;25;4;20;algD;algD+dT
1;S;7;W;20;23;15;3;20;algD;algD+dT
1;W;7;dT;1;4;5;4;20;dT;algD+dT
1;S;7;dT;2;3;2;3;20;dT;algD+dT
1;W;8;W;34;24;30;3;20;usher;usher+dT
1;S;8;W;26;43;53;2;20;usher;usher+dT
1;W;8;dT;7;6;5;3;20;dT;usher+dT
1;S;8;dT;10;16;11;2;20;dT;usher+dT
1;W;9;W;124;124;95;3;20;MT14;MT14
1;S;9;W;18;24;25;2;20;MT14;MT14
1;W;10;W;22;25;18;3;20;usher;usher
1;S;10;W;24;23;27;2;20;usher;usher
1;W;11;W;71;80;75;3;20;alg44;alg44
1;S;11;W;6;13;11;3;20;alg44;alg44
1;W;12;W;90;102;85;3;20;fli;fli+dT
1;S;12;W;22;18;11;2;20;fli;fli+dT
1;W;12;dT;3;7;8;3;20;dT;fli+dT
1;S;12;dT;11;8;4;2;20;dT;fli+dT
1;W;13;W;33;43;48;3;20;fimA;fimA+dT
1;S;13;W;30;42;29;2;20;fimA;fimA+dT
1;W;13;dT;11;12;6;3;20;dT;fimA+dT
1;S;13;dT;6;11;7;2;20;dT;fimA+dT
1;W;14;W;15;17;12;3;20;algD;algD
1;S;14;W;41;44;34;2;20;algD;algD
1;W;15;AL;39;30;32;2;20;MT48;MT48+dT
1;S;15;AL;13;13;11;2;20;MT48;MT48+dT
1;W;15;dT;18;21;15;2;20;dT;MT48+dT
1;S;15;dT;5;6;5;2;20;dT;MT48+dT
1;W;16;W;25;29;35;4;20;fimA;fimA
1;S;16;W;9;9;10;3;20;fimA;fimA
1;W;17;W;102;121;120;3;20;fli;fli
1;S;17;W;10;18;14;3;20;fli;fli
2;W;1;AL;12;5;10;3;20;MT48;MT48+dT
2;S;1;AL;20;15;18;2;20;MT48;MT48+dT
2;W;1;dT;6;3;4;3;20;dT;MT48+dT
2;S;1;dT;10;9;3;2;20;dT;MT48+dT
2;W;2;W;76;87;64;2;20;fli;fli+dT
2;S;2;W;1;2;1;2;20;fli;fli+dT
2;W;2;dT;4;5;4;2;20;dT;fli+dT
2;S;2;dT;0;0;1;2;20;dT;fli+dT
2;W;3;W;60;53;49;3;20;alg44;alg44
2;S;3;W;35;30;40;2;20;alg44;alg44
2;W;4;W;32;34;34;2;20;MT14;MT14
2;S;4;W;3;2;2;2;20;MT14;MT14
2;W;5;AL;51;43;44;3;20;MT48;MT48
2;S;5;AL;7;7;12;3;20;MT48;MT48
2;W;6;W;34;16;32;3;20;usher;usher
2;S;6;W;20;19;17;2;20;usher;usher
2;W;7;W;29;32;22;3;20;alg44;alg44+dT
2;S;7;W;0;2;2;2;20;alg44;alg44+dT
2;W;7;dT;3;1;2;3;20;dT;alg44+dT
2;S;7;dT;2;2;0;2;20;dT;alg44+dT
2;W;8;W;212;195;181;3;20;usher;usher+dT
2;S;8;W;12;25;13;4;20;usher;usher+dT
2;W;8;dT;6;5;4;3;20;dT;usher+dT
2;S;8;dT;0;0;0;4;20;dT;usher+dT
2;W;9;W;90;101;96;3;20;fimA;fimA
2;S;9;W;13;16;18;2;20;fimA;fimA
2;W;10;W;30;34;25;2;20;fli;fli
2;S;10;W;3;7;7;2;20;fli;fli
2;W;11;W;42;54;47;3;20;algD;algD+dT
2;S;11;W;33;39;35;2;20;algD;algD+dT
2;W;11;dT;3;4;0;3;20;dT;algD+dT
2;S;11;dT;4;2;4;2;20;dT;algD+dT
2;W;12;W;19;27;20;4;20;algD;algD
2;S;12;W;54;48;33;3;20;algD;algD
2;W;13;W;31;23;33;4;20;azu;azu
2;S;13;W;10;6;8;3;20;azu;azu
2;W;14;W;111;99;76;3;20;MT14;MT14+dT
2;S;14;W;20;33;29;2;20;MT14;MT14+dT
2;W;14;dT;7;13;8;3;20;dT;MT14+dT
2;S;14;dT;14;7;13;2;20;dT;MT14+dT
2;W;15;W;86;103;68;3;20;azu;azu+dT
2;S;15;W;66;67;73;2;20;azu;azu+dT
2;W;15;dT;20;24;27;3;20;dT;azu+dT
2;S;15;dT;51;30;48;2;20;dT;azu+dT
2;W;16;W;107;180;128;3;20;fimA;fimA+dT
2;S;16;W;7;9;8;3;20;fimA;fimA+dT
2;W;16;dT;11;14;16;3;20;dT;fimA+dT
2;S;16;dT;3;1;3;3;20;dT;fimA+dT
2;W;17;dT;22;31;28;3;20;dT;dT
2;S;17;dT;22;24;34;2;20;dT;dT
3;W;1;W;15;28;18;3;20;azu;azu
3;S;1;W;26;28;21;2;20;azu;azu
3;W;2;W;81;108;78;3;20;fimA;fimA
3;S;2;W;22;21;19;2;20;fimA;fimA
3;W;3;W;9;15;11;4;20;fimA;fimA+dT
3;S;3;W;6;6;6;2;20;fimA;fimA+dT
3;W;3;dT;1;1;0;4;20;dT;fimA+dT
3;S;3;dT;3;5;1;2;20;dT;fimA+dT
3;W;4;W;22;39;33;2;20;alg44;alg44
3;S;4;W;5;8;5;2;20;alg44;alg44
3;W;5;W;16;17;12;3;20;alg44;alg44+dT
3;S;5;W;4;2;3;2;20;alg44;alg44+dT
3;W;5;dT;3;3;0;3;20;dT;alg44+dT
3;S;5;dT;1;1;2;2;20;dT;alg44+dT
3;W;6;AL;17;20;13;3;20;MT48;MT48
3;S;6;AL;16;16;8;2;20;MT48;MT48
3;W;7;W;18;23;21;3;20;algD;algD+dT
3;S;7;W;35;26;25;2;20;algD;algD+dT
3;W;7;dT;0;2;0;3;20;dT;algD+dT
3;S;7;dT;2;0;3;2;20;dT;algD+dT
3;W;8;dT;16;32;29;2;20;dT;dT
3;S;8;dT;5;5;5;2;20;dT;dT
3;W;9;W;27;35;41;3;20;fli;fli+dT
3;S;9;W;20;0;3;2;20;fli;fli+dT
3;W;9;dT;2;2;5;3;20;dT;fli+dT
3;S;9;dT;2;1;0;2;20;dT;fli+dT
3;W;10;W;3;8;9;4;20;usher;usher
3;S;10;W;9;8;11;3;20;usher;usher
3;W;11;W;45;42;38;3;20;MT14;MT14+dT
3;S;11;W;26;18;20;3;20;MT14;MT14+dT
3;W;11;dT;3;3;2;3;20;dT;MT14+dT
3;S;11;dT;2;1;2;3;20;dT;MT14+dT
3;W;12;W;5;14;12;3;20;fli;fli
3;S;12;W;10;7;3;2;20;fli;fli
3;W;13;W;25;20;29;3;20;usher;usher+dT
3;S;13;W;6;8;1;3;20;usher;usher+dT
3;W;13;dT;1;0;0;3;20;dT;usher+dT
3;S;13;dT;0;0;1;3;20;dT;usher+dT
3;W;14;AL;2;4;4;3;20;MT48;MT48+dT
3;S;14;AL;8;10;18;2;20;MT48;MT48+dT
3;W;14;dT;4;4;2;3;20;dT;MT48+dT
3;S;14;dT;8;18;7;2;20;dT;MT48+dT
3;W;15;W;13;17;10;4;20;azu;azu+dT
3;S;15;W;87;105;93;3;20;azu;azu+dT
3;W;15;dT;0;1;0;4;20;dT;azu+dT
3;S;15;dT;5;4;3;3;20;dT;azu+dT
3;W;16;W;33;31;16;3;20;algD;algD
3;S;16;W;5;11;9;3;20;algD;algD
3;W;17;W;35;38;38;2;20;MT14;MT14
3;S;17;W;1;3;4;2;20;MT14;MT14
4;W;1;W;48;36;45;4;20;algD;algD
4;S;1;W;60;49;58;3;20;algD;algD
4;W;2;W;94;88;63;3;20;fli;fli
4;S;2;W;41;52;42;3;20;fli;fli
4;W;3;W;35;39;36;2;20;MT14;MT14
4;S;3;W;1;1;4;2;20;MT14;MT14
4;W;4;W;19;18;13;3;20;algD;algD+dT
4;S;4;W;30;26;31;2;20;algD;algD+dT
